,user_id,account_id,deal_count,total_reading_count
0,40092914,101134895,156,26
1,13054545,121291660,311,33
2,564873,,0,19
3,7990330,,0,21
4,9858381,,0,30
5,5775527,101154296,62,854
6,2791821,,0,25
7,24879319,,0,38
8,1034938,,0,53
9,13042782,,0,44
10,29965602,,0,97
11,17813330,100877125,351,97
12,17813330,100877124,28,97
13,11611172,121542282,416,68
14,34184055,121716264,372,1393
15,13411529,,0,32
16,13944665,100742044,78,478
17,40248703,101183843,38,63
18,40139631,142074491,247,115
19,1699782,142105875,144,1853
20,39347883,141803796,52,51
21,37949145,100849381,63,32
22,40086728,,0,19
23,36106970,100547987,371,398
24,40466689,122421103,18,408
25,13910911,122036443,4,48
26,39370036,,0,19
27,35767465,121734876,433,168
28,35767465,120709974,845,168
29,39839748,122188784,785,656
30,2102254,,0,83
31,11376906,,0,297
32,19459233,,0,41
33,9599238,,0,46
34,9030450,,0,35
35,17742298,,0,40
36,2650511,,0,1302
37,38486678,,0,445
38,1790802,,0,23
39,35489515,,0,26
40,37695564,,0,29
41,4351138,,0,219
42,4085194,,0,68
43,38850853,,0,136
44,11459525,,0,68
45,27184271,,0,365
46,35371247,101106393,131,174
47,39830040,101096774,64,144
48,27371537,101106188,115,134
49,39884624,101105341,1302,1737
50,39925616,101111429,1902,378
51,31314146,122295199,90,47
52,40238422,142108008,385,90
53,31202675,,0,33
54,38780067,121764159,93,19
55,37857061,121369523,339,20
56,31608452,120180036,29,262
57,40195005,122381411,100,23
58,39828502,122184039,790,166
59,39451439,142077315,138,32
60,32724048,,0,34
61,33993115,,0,196
62,40266450,122347890,158,238
63,7980610,,0,22
64,34437395,,0,17
65,31862122,,0,46
66,39774756,101087837,148,36
67,20194647,,0,128
68,458268,,0,35
69,11691770,,0,42
70,34764256,,0,85
71,10613598,,0,30
72,10019940,,0,43
73,14164546,,0,19695
74,34159085,,0,30
75,22016,,0,24
76,27932597,,0,98
77,35317665,,0,322
78,3272120,,0,19
79,26378196,,0,50
80,34444936,,0,30
81,562342,101139555,10,20
82,38122441,121464957,314,2511
83,71186,100991287,316,60
84,17827442,,0,810
85,31961082,,0,164
86,19402383,100174774,363,132
87,39927601,122221738,285,584
88,40272675,142119138,205,292
89,40352017,142145918,116,24
90,35993963,140605220,6,302
91,39947699,142006010,99,49
92,38007805,,0,69
93,21848317,,0,62
94,40167928,142084216,392,1574
95,40371349,122388674,14,15
96,16211881,,0,41
97,24899997,121713807,7,23
98,36126829,100555971,1892,37
99,38890591,100977868,169,54
100,39981792,122241269,356,83
101,39386169,122011590,557,217
102,13892150,,0,1070
103,30376640,,0,44
104,11352650,,0,31
105,12735913,,0,1075
106,15978419,,0,850
107,5916663,,0,17
108,39170356,,0,31
109,31411483,,0,27
110,11037250,,0,40
111,7458853,,0,81
112,7738282,,0,111
113,7651303,,0,253
114,34399184,,0,35
115,4641342,,0,37
116,39071356,121887670,519,126
117,35952698,121257211,61,64
118,38851394,100971791,197,56
119,6915430,101117205,52,763
120,6915430,101128624,874,763
121,6915430,101124997,425,763
122,40018956,122255395,162,70
123,38421869,141484403,84,55
124,40105324,142061794,182,57
125,7659507,101198240,548,79
126,20607909,121920558,116,37
127,38980102,121847618,788,17
128,39364128,122002024,105,22
129,12724312,120853440,135,90
130,27011418,,0,17
131,31783802,,0,18
132,9196571,,0,24
133,40116061,,0,35
134,40153422,122303438,58,38
135,40410801,101184441,6,23
136,37518866,100786439,3,36
137,37051400,100720759,230,45
138,14386481,122274162,386,97
139,18239911,,0,34
140,2426409,,0,247
141,31133888,,0,41
142,4346339,,0,211
143,24738571,,0,90
144,33664469,,0,96
145,39526646,,0,24
146,13414883,,0,20
147,19671730,,0,84
148,10932060,,0,19
149,17921525,,0,272
150,18844998,101114843,626,21
151,10128062,121869860,134,21
152,39603169,101066650,1682,17
153,40137219,122297446,611,139
154,40255947,142113869,85,50
155,17850193,,0,43
156,10053298,,0,17
157,19181167,,0,35
158,34986293,101146809,312,86
159,13623050,,0,15
160,37094066,142217926,22,19
161,21376529,,0,29
162,642607,101089280,360,71
163,38208177,121498507,83,194
164,38524913,121632860,233,71
165,39983108,142017837,336,64
166,10823415,,0,67
167,23355404,,0,136
168,13312133,,0,82
169,17206211,,0,28
170,21639322,,0,95
171,3193700,,0,38
172,33152723,,0,51
173,33273248,101201815,4,32
174,13579023,,0,21
175,15337547,,0,20
176,14531865,,0,284
177,39396916,101041671,915,606
178,38928763,101104115,104,27
179,29585815,120088652,21,44
180,40310278,101170037,12,15
181,37871703,141283473,68,28
182,40065082,122279924,72,43
183,35866605,,0,30
184,38289454,,0,159
185,39721919,122145593,12,38
186,39361579,141808335,56,106
187,39771693,141950021,86,51
188,37341757,100760283,29,74
189,37038300,122428154,21,34
190,40155449,101145410,98,32
191,39390863,122013715,1270,1358
192,28605559,120781322,13220,115
193,18841939,,0,1049
194,36215184,100571638,86,20
195,29704582,,0,73
196,31702247,,0,15
197,9012711,,0,15
198,13754202,,0,231
199,40276744,,0,202
200,19609873,,0,47
201,31753936,,0,542
202,23367267,,0,517
203,10327375,,0,37
204,9228201,,0,47
205,6476698,,0,58
206,7151843,,0,29
207,17700679,,0,327
208,17926844,,0,18
209,34653423,121057474,10,36
210,12528998,,0,42
211,9321930,,0,161
212,38843487,101058948,148,39
213,38843487,101152398,110,39
214,39797199,122177655,245,136
215,35027457,120504530,204,71
216,33729355,101028021,68,25
217,11808543,,0,40
218,40439894,101188556,2732,56
219,36636333,121341863,12,17
220,12715779,,0,450
221,23948983,,0,294
222,39705846,141927893,196,257
223,39718796,101079615,10,107
224,32761380,120237145,28,27
225,40043245,122263466,22,178
226,39140982,101011270,2,22
227,36265716,100584138,858,1432
228,13216423,,0,27
229,39795902,122172740,609,170
230,27080205,121945480,687,88
231,10195910,,0,60
232,29580825,,0,26
233,37793251,,0,5175
234,6241119,,0,91
235,10884689,,0,32
236,39248286,,0,484
237,31224651,,0,352
238,5808400,,0,2972
239,35184079,,0,2676
240,25641138,,0,30
241,14810354,,0,760
242,38768115,,0,207
243,112762,,0,140
244,35521061,,0,15
245,40084234,101133637,362,69
246,20782625,122106663,110,312
247,36976016,100712457,104,22
248,39258917,122376242,116,76
249,39258917,121962905,190,76
250,39143035,121917824,75,197
251,40401386,101182695,72,136
252,15376017,101116323,214,416
253,1642725,101108896,281,58
254,39967316,101117276,204,61
255,40296786,122359811,88,143
256,35787805,120716834,204,804
257,38566516,121651946,46,66
258,36607368,140833176,370,28
259,16442274,,0,72
260,22382074,,0,31
261,316158,,0,17
262,3496620,,0,29
263,34092595,101182397,44,99
264,17596015,100972471,20,19
265,38169336,,0,73
266,25591226,,0,19
267,29614311,101129881,62,64
268,37886170,141509366,693,69
269,39436456,141833214,474,63
270,9695911,,0,31
271,23775411,,0,117
272,7296179,,0,739
273,18122762,,0,49
274,26915860,,0,125
275,28188410,,0,30
276,33475636,,0,188
277,34270026,,0,21
278,28247994,,0,1215
279,3198709,,0,32
280,14175427,,0,27
281,17430934,122391799,30,276
282,24026126,,0,168
283,12700075,,0,36
284,20896973,,0,206
285,20142740,,0,19
286,24065240,120496448,156,43
287,39919205,,0,48
288,30426151,,0,67
289,40241787,101158757,86,55
290,39758207,122159336,103,219
291,37995574,121417840,28,28
292,294628,,0,27
293,39701605,122137812,24,222
294,40451072,122416821,36,51
295,26836572,,0,236
296,37097291,,0,29
297,25063511,,0,25
298,40148539,142077650,90,86
299,1141066,122285333,76,109
300,1141066,122260631,110,109
301,38776504,100960238,300,4416
302,38776504,100972636,216,4416
303,38439960,121593222,1129,157
304,37113063,121098894,766,1448
305,5125104,,0,138
306,17276974,,0,112
307,2461956,,0,24
308,5932305,,0,75
309,466203,,0,34
310,34656931,100221838,167,66
311,36532808,,0,224
312,16902691,,0,47
313,40204815,142096452,116,35
314,39094451,,0,653
315,14067424,,0,84
316,35806441,,0,30
317,710665,,0,163
318,29696582,,0,15
319,39767359,,0,15
320,12075334,,0,158
321,39300502,101029888,74,286
322,37612417,121283056,820,844
323,2023746,121014818,57,143
324,19464453,101143633,5808,23
325,19464453,101147692,152,23
326,40305495,122363523,204,269
327,33658192,140767487,211,315
328,40133497,142072203,20,74
329,34047145,,0,69
330,33661470,100128389,12,54
331,40353824,101177464,20,73
332,10341156,101182712,6,164
333,10341156,101179572,34,164
334,36799049,122232333,156,51
335,33610913,140130015,32,138
336,38680120,122105548,152,2273
337,30223306,,0,18
338,9386746,,0,69
339,17309750,,0,53
340,33449504,,0,523
341,32832460,,0,37
342,31812997,,0,22
343,12067524,,0,26
344,36627496,,0,610
345,14037047,,0,15
346,14146132,,0,242
347,13950304,,0,59
348,21852587,,0,102
349,29819141,100028749,10,57
350,29819141,100021129,456,57
351,4267355,100155651,74,57
